userLanguage	distributionChannel	_recordId	duration	locationLongitude	responseId	progress	PROLIFIC_PID	startDate	QID6	QID3	recordedDate	QID5	endDate	status	QID8	finished	locationLatitude	QID1	ipAddress	QID2
EN	anonymous	R_1f9rixhyCCB3LQR	172	-84.3396	R_1f9rixhyCCB3LQR	100	5b65f7935c431c000127ae5f	2023-12-25T15:29:37Z	1	2	2023-12-25T15:32:30.054Z	2	2023-12-25T15:32:29Z	0	5	1	39.0584	1	163.182.35.154	3
EN	anonymous	R_3VxSsYQFSRzrJsV	73	-95.0977	R_3VxSsYQFSRzrJsV	100	5dfa956b247354017ef9e5a5	2023-12-25T15:32:49Z	1	2	2023-12-25T15:34:03.735Z	3	2023-12-25T15:34:03Z	0	5	1	29.5183	3	98.195.105.86	1
EN	anonymous	R_17akfSkSfEp8XAZ	636	-119.1034	R_17akfSkSfEp8XAZ	100	657342208a2c0bd370472fd7	2023-12-25T15:26:15Z	3	2	2023-12-25T15:36:52.682Z	3	2023-12-25T15:36:52Z	0	3	1	46.2515	1	174.31.35.80	1
EN	anonymous	R_1Ufzfxaa6aZZncl	92	-98.5499	R_1Ufzfxaa6aZZncl	100	6074391ef6527366aa827f42	2023-12-25T15:36:54Z	1	1	2023-12-25T15:38:27.079Z	3	2023-12-25T15:38:26Z	0	5	1	29.5443	1	136.50.138.71	1
EN	anonymous	R_5X4FMczJDgnheMz	94	-95.0977	R_5X4FMczJDgnheMz	100	63e55b9998cfe6f533667161	2023-12-25T15:37:14Z	1	2	2023-12-25T15:38:49.801Z	3	2023-12-25T15:38:49Z	0	5	1	29.5183	1	47.160.160.107	1
EN	anonymous	R_1g8dBA4avzJHh1D	119	-73.8753	R_1g8dBA4avzJHh1D	100	628bdbc77a9dddcd7f4ed538	2023-12-25T15:37:01Z	1	2	2023-12-25T15:39:01.626Z	3	2023-12-25T15:39:01Z	0	4	1	40.6764	1	172.56.162.241	1
EN	anonymous	R_3yrDpjGHRVpi1EJ	304	-117.0935	R_3yrDpjGHRVpi1EJ	100	658742706fa6fd9a37696a1f	2023-12-25T15:36:27Z	2	2	2023-12-25T15:41:32.884Z	3	2023-12-25T15:41:32Z	0	5	1	32.7405	1	107.223.113.96	3
EN	anonymous	R_5SDD1aTUfjvaFu1	70	-75.296	R_5SDD1aTUfjvaFu1	100	6108696dc9d16e886749e495	2023-12-25T15:41:28Z	1	2	2023-12-25T15:42:38.709Z	3	2023-12-25T15:42:38Z	0	5	1	40.2363	1	100.11.123.185	1
EN	anonymous	R_6sABcKYSvBaGZnk	103	-80.1886	R_6sABcKYSvBaGZnk	100	5edb7982f3b2f87f8ef83236	2023-12-25T15:43:38Z	1	2	2023-12-25T15:45:22.245Z	3	2023-12-25T15:45:21Z	0	5	1	25.7634	1	73.85.8.109	1
EN	anonymous	R_5DuaXPCVrdiAnfy	133	-117.8457	R_5DuaXPCVrdiAnfy	100	5f12691e8427ec1bd6ba5e64	2023-12-25T15:44:04Z	1	2	2023-12-25T15:46:17.951Z	2	2023-12-25T15:46:17Z	0	5	1	34.1535	1	76.89.94.82	1
EN	anonymous	R_12JZrTs4W4dRk9y	266	-90.2049	R_12JZrTs4W4dRk9y	100	611134d4e32003c61fb64f78	2023-12-25T15:43:49Z	1	2	2023-12-25T15:48:16.492Z	2	2023-12-25T15:48:15Z	0	5	1	38.9458	1	174.86.53.87	3
EN	anonymous	R_5cOaNcfGAkCL08F	102	-106.5199	R_5cOaNcfGAkCL08F	100	5d46da4ae67c9400192c4343	2023-12-25T15:47:13Z	1	1	2023-12-25T15:48:56.327Z	3	2023-12-25T15:48:55Z	0	5	1	35.1369	1	69.247.78.208	1
EN	anonymous	R_7ruyIMZrv8mviZ1	139	-96.0325	R_7ruyIMZrv8mviZ1	100	6376e34cb9fc3dab5a718c87	2023-12-25T15:48:27Z	1	2	2023-12-25T15:50:48.140Z	2	2023-12-25T15:50:47Z	0	4	1	41.155	1	174.70.48.70	1
EN	anonymous	R_7gMdEgev6dKpTE6	103	-77.3584	R_7gMdEgev6dKpTE6	100	5ec6db19304ce10f8c56c111	2023-12-25T15:49:31Z	1	2	2023-12-25T15:51:15.833Z	3	2023-12-25T15:51:15Z	0	5	1	39.7837	1	71.207.98.162	1
EN	anonymous	R_5mDFp4DcK5TvhGg	119	-116.5291	R_5mDFp4DcK5TvhGg	100	6585a72a09f022fbe598d16a	2023-12-25T15:49:15Z	1	2	2023-12-25T15:51:15.980Z	4	2023-12-25T15:51:15Z	0	5	1	48.3148	4	69.59.65.8	1
EN	anonymous	R_7fdMGT0ct3ap1MB	184	-101.9316	R_7fdMGT0ct3ap1MB	100	628ecaf78869ed2022d7690f	2023-12-25T15:48:13Z	2	1	2023-12-25T15:51:18.704Z	2	2023-12-25T15:51:18Z	0	5	1	33.5119	1	108.88.113.28	1
EN	anonymous	R_3uF2uwclelZukNw	329	-80.3153	R_3uF2uwclelZukNw	100	5ddc7c26370810bfb7e7ae8d	2023-12-25T15:46:24Z	1	2	2023-12-25T15:51:53.883Z	3	2023-12-25T15:51:53Z	0	5	1	26.1522	1	66.229.225.65	1
EN	anonymous	R_1PX0CMDJx9sBQD3	161	-75.296	R_1PX0CMDJx9sBQD3	100	656f47c38d6a2aa50bccb845	2023-12-25T15:50:57Z	1	2	2023-12-25T15:53:39.469Z	2	2023-12-25T15:53:38Z	0	5	1	40.2363	1	100.11.132.50	1
EN	anonymous	R_7iCooTVUpleDMw8	172	-87.9904	R_7iCooTVUpleDMw8	100	5a94362e873cda0001dc66c9	2023-12-25T15:50:51Z	2	2	2023-12-25T15:53:44.013Z	1	2023-12-25T15:53:43Z	0	5	1	43.1166	1	172.59.96.75	1
EN	anonymous	R_7AQbnqjEpOIFfwd	83	-70.0971	R_7AQbnqjEpOIFfwd	100	5ff0a8832f5671f96de3474c	2023-12-25T15:52:24Z	1	1	2023-12-25T15:53:48.739Z	1	2023-12-25T15:53:48Z	0	5	1	41.2727	1	73.69.46.49	1
