endDate	PROLIFIC_PID	QID2	recordedDate	_recordId	userLanguage	responseId	progress	QID5	locationLatitude	finished	QID1	status	QID8	QID3	QID4	locationLongitude	ipAddress	startDate	duration	distributionChannel	QID6
2023-12-18T21:42:23Z	6110a3cea048e6a387686a00	1	2023-12-18T21:42:24.438Z	R_6dm4tv8ThOPFniI	EN	R_6dm4tv8ThOPFniI	100	1	33.7838	1	1	0	2	3	4	-84.4455	199.185.175.67	2023-12-18T21:40:51Z	92	anonymous	3
2023-12-18T21:43:29Z	655ce483f596bc00eab95320	2	2023-12-18T21:43:29.624Z	R_7g5FZC87RQArakf	EN	R_7g5FZC87RQArakf	100	3	29.7335	1	1	0	5	1	4	-95.5564	75.217.150.181	2023-12-18T21:38:43Z	285	anonymous	1
2023-12-18T21:43:35Z	63f804e5483d1817b4f207b9	1	2023-12-18T21:43:35.794Z	R_3P1NXHMCkqub3WC	EN	R_3P1NXHMCkqub3WC	100	4	43.6165	1	1	0	5	1	4	-116.2001	172.56.201.48	2023-12-18T21:39:15Z	259	anonymous	1
2023-12-18T21:43:47Z	572036a1fd3a5200093c126b	1	2023-12-18T21:43:48.498Z	R_1jkMb4n8ZH7s81H	EN	R_1jkMb4n8ZH7s81H	100	3	38.9949	1	1	0	5	2	4	-94.3652	12.25.146.170	2023-12-18T21:35:27Z	500	anonymous	1
2023-12-18T21:43:49Z	5e6cade3d92ffb26677dbd84	1	2023-12-18T21:43:49.947Z	R_6OrfUumuRCVI3LC	EN	R_6OrfUumuRCVI3LC	100	1	34.0598	1	1	0	3	1	4	-118.3769	98.147.152.225	2023-12-18T21:39:02Z	286	anonymous	2
2023-12-18T21:44:04Z	644bd5f65278efdaecb4f62f	3	2023-12-18T21:44:05.421Z	R_6scUFXpoOrIkA6Z	EN	R_6scUFXpoOrIkA6Z	100	3	33.8019	1	1	0	5	2	4	-84.3861	170.55.121.162	2023-12-18T21:41:34Z	150	anonymous	1
2023-12-18T21:44:09Z	5fc98fe1b105424d4b03381b	1	2023-12-18T21:44:09.761Z	R_5obSHJ5ruyJiCWZ	EN	R_5obSHJ5ruyJiCWZ	100	3	42.4444	1	1	0	5	2	4	-76.4926	128.84.126.107	2023-12-18T21:42:52Z	76	anonymous	1
2023-12-18T21:44:43Z	6486379af229c305ab5e63fa	1	2023-12-18T21:44:44.464Z	R_3PmYmrqiRtKNlHi	EN	R_3PmYmrqiRtKNlHi	100	1	26.6786	1	2	0	5	2	4	-82.0263	71.208.10.214	2023-12-18T21:42:22Z	141	anonymous	1
2023-12-18T21:44:45Z	633129042bb1ab9f1847e81f	2	2023-12-18T21:44:46.453Z	R_7YysniXvMXePN1n	EN	R_7YysniXvMXePN1n	100	3	33.5594	1	4	0	5	1	4	-112.0902	172.56.80.243	2023-12-18T21:42:05Z	160	anonymous	1
2023-12-18T21:45:13Z	6413ed6a23881edc2e190e15	1	2023-12-18T21:45:14.384Z	R_7TmOrT2CXg6ofER	EN	R_7TmOrT2CXg6ofER	100	2	33.6647	1	1	0	5	1	4	-117.9663	172.117.113.169	2023-12-18T21:42:38Z	155	anonymous	1
